cow,frear,rear,fpar,par1,par24,par56,ll,ul,censor
1,rear,1,>4,0,0,1,296,,0
1,front,0,>4,0,0,1,261,296,1
1,rear,1,>4,0,0,1,47,78,1
1,front,0,>4,0,0,1,140,165,1
2,rear,1,1,1,0,0,331,,0
2,front,0,1,1,0,0,331,,0
2,rear,1,1,1,0,0,331,,0
2,front,0,1,1,0,0,331,,0
3,rear,1,1,1,0,0,,24,1
3,front,0,1,1,0,0,24,53,1
3,rear,1,1,1,0,0,80,115,1
3,front,0,1,1,0,0,24,53,1
4,rear,1,1,1,0,0,391,,0
4,front,0,1,1,0,0,391,,0
4,rear,1,1,1,0,0,273,306,1
4,front,0,1,1,0,0,27,66,1
5,rear,1,1,1,0,0,240,,0
5,front,0,1,1,0,0,240,,0
5,rear,1,1,1,0,0,240,,0
5,front,0,1,1,0,0,240,,0
6,rear,1,1,1,0,0,213,249,1
6,front,0,1,1,0,0,93,127,1
6,rear,1,1,1,0,0,93,127,1
6,front,0,1,1,0,0,183,213,1
7,rear,1,2-4,0,1,0,374,,0
7,front,0,2-4,0,1,0,342,374,1
7,rear,1,2-4,0,1,0,41,70,1
7,front,0,2-4,0,1,0,41,70,1
8,rear,1,2-4,0,1,0,,50,1
8,front,0,2-4,0,1,0,,50,1
8,rear,1,2-4,0,1,0,156,183,1
8,front,0,2-4,0,1,0,,50,1
9,rear,1,2-4,0,1,0,28,60,1
9,front,0,2-4,0,1,0,60,126,1
9,rear,1,2-4,0,1,0,154,179,1
9,front,0,2-4,0,1,0,28,60,1
10,rear,1,2-4,0,1,0,323,,0
10,front,0,2-4,0,1,0,323,,0
10,rear,1,2-4,0,1,0,323,,0
10,front,0,2-4,0,1,0,323,,0
11,rear,1,2-4,0,1,0,350,,0
11,front,0,2-4,0,1,0,80,139,1
11,rear,1,2-4,0,1,0,80,139,1
11,front,0,2-4,0,1,0,350,,0
12,rear,1,2-4,0,1,0,36,63,1
12,front,0,2-4,0,1,0,36,63,1
12,rear,1,2-4,0,1,0,36,63,1
12,front,0,2-4,0,1,0,36,63,1
13,rear,1,1,1,0,0,105,132,1
13,front,0,1,1,0,0,105,132,1
13,rear,1,1,1,0,0,42,105,1
13,front,0,1,1,0,0,42,105,1
14,rear,1,2-4,0,1,0,26,57,1
14,front,0,2-4,0,1,0,274,300,1
14,rear,1,2-4,0,1,0,328,,0
14,front,0,2-4,0,1,0,26,57,1
15,rear,1,1,1,0,0,250,283,1
15,front,0,1,1,0,0,131,162,1
15,rear,1,1,1,0,0,349,,0
15,front,0,1,1,0,0,283,325,1
16,rear,1,1,1,0,0,191,231,1
16,front,0,1,1,0,0,331,358,1
16,rear,1,1,1,0,0,21,51,1
16,front,0,1,1,0,0,331,358,1
17,rear,1,>4,0,0,1,22,56,1
17,front,0,>4,0,0,1,22,56,1
17,rear,1,>4,0,0,1,22,56,1
17,front,0,>4,0,0,1,22,56,1
18,rear,1,1,1,0,0,32,60,1
18,front,0,1,1,0,0,60,94,1
18,rear,1,1,1,0,0,60,94,1
18,front,0,1,1,0,0,312,339,1
19,rear,1,1,1,0,0,70,106,1
19,front,0,1,1,0,0,41,70,1
19,rear,1,1,1,0,0,41,70,1
19,front,0,1,1,0,0,41,70,1
20,rear,1,1,1,0,0,340,395,1
20,front,0,1,1,0,0,395,431,1
20,rear,1,1,1,0,0,340,395,1
20,front,0,1,1,0,0,340,395,1
21,rear,1,1,1,0,0,51,86,1
21,front,0,1,1,0,0,51,86,1
21,rear,1,1,1,0,0,86,,0
21,front,0,1,1,0,0,86,,0
22,rear,1,2-4,0,1,0,248,282,1
22,front,0,2-4,0,1,0,318,,0
22,rear,1,2-4,0,1,0,318,,0
22,front,0,2-4,0,1,0,318,,0
23,rear,1,2-4,0,1,0,89,131,1
23,front,0,2-4,0,1,0,89,131,1
23,rear,1,2-4,0,1,0,89,131,1
23,front,0,2-4,0,1,0,89,131,1
24,rear,1,2-4,0,1,0,125,149,1
24,front,0,2-4,0,1,0,149,177,1
24,rear,1,2-4,0,1,0,30,59,1
24,front,0,2-4,0,1,0,30,59,1
25,rear,1,1,1,0,0,,46,1
25,front,0,1,1,0,0,,46,1
25,rear,1,1,1,0,0,,46,1
25,front,0,1,1,0,0,143,172,1
26,rear,1,>4,0,0,1,45,98,1
26,front,0,>4,0,0,1,45,98,1
26,rear,1,>4,0,0,1,45,98,1
26,front,0,>4,0,0,1,45,98,1
27,rear,1,2-4,0,1,0,20,51,1
27,front,0,2-4,0,1,0,199,234,1
27,rear,1,2-4,0,1,0,20,51,1
27,front,0,2-4,0,1,0,20,51,1
28,rear,1,2-4,0,1,0,194,220,1
28,front,0,2-4,0,1,0,40,66,1
28,rear,1,2-4,0,1,0,220,252,1
28,front,0,2-4,0,1,0,285,327,1
29,rear,1,2-4,0,1,0,,26,1
29,front,0,2-4,0,1,0,26,59,1
29,rear,1,2-4,0,1,0,,26,1
29,front,0,2-4,0,1,0,,26,1
30,rear,1,1,1,0,0,175,202,1
30,front,0,1,1,0,0,175,202,1
30,rear,1,1,1,0,0,77,113,1
30,front,0,1,1,0,0,77,113,1
31,rear,1,2-4,0,1,0,74,110,1
31,front,0,2-4,0,1,0,264,,0
31,rear,1,2-4,0,1,0,,39,1
31,front,0,2-4,0,1,0,264,,0
32,rear,1,1,1,0,0,35,62,1
32,front,0,1,1,0,0,35,62,1
32,rear,1,1,1,0,0,35,62,1
32,front,0,1,1,0,0,35,62,1
33,rear,1,1,1,0,0,231,263,1
33,front,0,1,1,0,0,176,231,1
33,rear,1,1,1,0,0,21,52,1
33,front,0,1,1,0,0,141,176,1
34,rear,1,2-4,0,1,0,138,164,1
34,front,0,2-4,0,1,0,68,107,1
34,rear,1,2-4,0,1,0,107,138,1
34,front,0,2-4,0,1,0,138,164,1
35,rear,1,2-4,0,1,0,199,228,1
35,front,0,2-4,0,1,0,325,,0
35,rear,1,2-4,0,1,0,262,325,1
35,front,0,2-4,0,1,0,325,,0
36,rear,1,2-4,0,1,0,78,112,1
36,front,0,2-4,0,1,0,112,136,1
36,rear,1,2-4,0,1,0,203,259,1
36,front,0,2-4,0,1,0,259,287,1
37,rear,1,1,1,0,0,57,,0
37,front,0,1,1,0,0,57,,0
37,rear,1,1,1,0,0,57,,0
37,front,0,1,1,0,0,57,,0
38,rear,1,>4,0,0,1,,50,1
38,front,0,>4,0,0,1,,50,1
38,rear,1,>4,0,0,1,,50,1
38,front,0,>4,0,0,1,,50,1
39,rear,1,>4,0,0,1,46,73,1
39,front,0,>4,0,0,1,46,73,1
39,rear,1,>4,0,0,1,46,73,1
39,front,0,>4,0,0,1,46,73,1
40,rear,1,2-4,0,1,0,100,,0
40,front,0,2-4,0,1,0,100,,0
40,rear,1,2-4,0,1,0,100,,0
